[2026-04-13 21:22:01] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:22:01] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:22:01] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:22:01] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:22:13] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:22:13] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:22:13] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:22:14] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:22:15] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:22:17] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:22:17] INFO     | CSV disimpan → model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:22:17] INFO     | JSONL disimpan → model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:22:17] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:22:17] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:26:02] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:26:02] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:26:02] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:26:02] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:26:03] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:26:05] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:26:05] INFO     | CSV disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:26:05] INFO     | JSONL disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:26:05] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:26:05] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:26:21] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:26:21] INFO     | Scraping [label=0] → https://www.kitabisa.com
[2026-04-13 21:26:21] INFO     | Scraping [label=0] → https://www.tokopedia.com
[2026-04-13 21:26:21] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:26:22] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:26:24] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:26:24] INFO     | CSV disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:26:24] INFO     | JSONL disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:26:24] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:26:24] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:28:33] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:28:33] INFO     | Scraping [label=0] → https://kitabisa.com
[2026-04-13 21:28:33] INFO     | Scraping [label=0] → https://tokopedia.com
[2026-04-13 21:28:33] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=369c | 
[2026-04-13 21:28:33] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=298c | 
[2026-04-13 21:28:35] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:28:35] INFO     | CSV disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:28:35] INFO     | JSONL disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:28:35] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:28:35] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:28:43] WARNING  | Semua URL sudah di-scrape atau target list kosong.
[2026-04-13 21:28:57] WARNING  | Semua URL sudah di-scrape atau target list kosong.
[2026-04-13 21:37:30] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:37:30] INFO     | Scraping [label=0] → https://kitabisa.com
[2026-04-13 21:37:30] INFO     | Scraping [label=0] → https://tokopedia.com
[2026-04-13 21:37:31] WARNING  | Body terlalu pendek (227 < 500), kemungkinan JS-rendered atau blocked: https://tokopedia.com
[2026-04-13 21:37:31] WARNING  | Body terlalu pendek (280 < 500), kemungkinan JS-rendered atau blocked: https://kitabisa.com
[2026-04-13 21:37:33] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:37:33] WARNING  | 2 URL gagal / dilewati:
[2026-04-13 21:37:33] WARNING  |   ✗ https://tokopedia.com
[2026-04-13 21:37:33] WARNING  |   ✗ https://kitabisa.com
[2026-04-13 21:37:33] ERROR    | Tidak ada data yang berhasil diambil di batch ini.
[2026-04-13 21:40:17] INFO     | Memulai scraping 2 URL dengan 3 worker...
[2026-04-13 21:40:17] INFO     | Scraping [label=0] → https://kitabisa.com
[2026-04-13 21:40:17] INFO     | Scraping [label=0] → https://tokopedia.com
[2026-04-13 21:40:18] INFO     | ✓ OK | title='Situs Jual Beli Online Terlengkap, Mudah & Aman | ' | body=227c | 
[2026-04-13 21:40:18] INFO     | ✓ OK | title='Kitabisa - Donasi, Zakat, Wakaf, dan Saling Jaga s' | body=280c | 
[2026-04-13 21:40:20] INFO     | Progress: 2/2 URL berhasil diproses
[2026-04-13 21:40:20] INFO     | CSV disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.csv (2 baris ditambahkan)
[2026-04-13 21:40:20] INFO     | JSONL disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.jsonl (2 baris ditambahkan)
[2026-04-13 21:40:20] INFO     | Batch sekarang: 2 record berhasil
[2026-04-13 21:40:20] INFO     | Total dalam dataset sekarang: 2 record
[2026-04-13 21:58:55] INFO     | Tidak ada URL yang perlu di-scrape.
[2026-04-13 21:59:43] INFO     | Memulai scraping 1 URL dengan 3 worker...
[2026-04-13 21:59:43] INFO     | Scraping [label=0] → https://youtube.com
[2026-04-13 21:59:55] INFO     | ✓ OK | title='YouTube' | body=143c | 
[2026-04-13 21:59:57] INFO     | Progress: 1/1 URL berhasil diproses
[2026-04-13 21:59:57] INFO     | CSV disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.csv (1 baris ditambahkan)
[2026-04-13 21:59:57] INFO     | JSONL disimpan → /home/rizkyfauziilmi/Documents/Code/Kuliah/gambling-blocker/backend/model/dataset/raw_dataset.jsonl (1 baris ditambahkan)
[2026-04-13 21:59:57] INFO     | Batch sekarang: 1 record berhasil
[2026-04-13 21:59:57] INFO     | Total dalam dataset sekarang: 3 record
[2026-04-13 22:01:42] INFO     | Tidak ada URL yang perlu di-scrape.
[2026-04-13 22:07:08] INFO     | Tidak ada URL yang perlu di-scrape.
[2026-04-13 22:09:53] INFO     | Tidak ada URL yang perlu di-scrape.
